aaron1,allen1,anhaiser1,aniken1,annpick1,bmmp1,balfour1,barrier1,beelerranch1,bermuda1,betty1,bigsonny1,blackmon1,blasreyes1,bond1,bowman1,box1,branton1,bruceweaver1,bruceweaver2re,buck1,burnsranch2,burnsranchgt1,cr101,cr201,cr301,cr302,cr401,cr501,cr939,ct1,cannan1,carolpick1,carolyn1,caza1,cenizo1,chad1,charlesb1,circlet1,clayton1,cornett1,cornett1swd,crosss1,dale1,dial1,dial1st,dillard1,drinkard1,dunkle1,dunkle2,dunlap1,dyess1,eileen1,elaine1,evergreen1,fatheree1,fgp1,flower1,flyingg1,gail1,gil1,grissom1,haby1,harold1,heitz1,huber1,jbeeler1,jic1,jicbuda1,jj1,jessica1,joe1,joseph1,jred1,kay1,kiley1,kincaid1,kirby1,kleimann1,kleimann3,lt1,larosita1,lackeyfive1,lander1,lansford1,learytrust1,lisa1,little1791,lochte1,mdb1,marguerite1,marpick1,marrs1,mclean1,molak1,montemayor1,moreland1,opa1,pc1,palm1,parkway1,pecangrove1,pfeiffer1,pfeiffer2,pickens1,pickensranch2h,pickensweaver1,pickwill1,preston1,pritchett1,rab1,rab2,rab3,rhodes1,richard1,richardson1,rionueces1,ronald1,russell1,ruth1,ruthpick1,sansom1,solansky1,southtexastotal,sugarland1,tebo1,teel1,thalmann1,thompson1,thompson2,thuss1,tlapek1,tortugaranch1h,triplej1,triplej2,triplittunit1h,trotter1,vreminerals1,vermillion1,verna1,wagnerfarms1,whitemarlin1,whittington1,woodward1
4675.782780010497,1604.4354552497366,4948.757037551046,1287.1763050370673,15574.42667105086,420.41869595052543,11541.469398585532,8373.228305049603,10418.278801209986,2111.1108209567274,7077.135016650727,,13094.25897816926,,4450.0785941826625,2843.4180399902207,,,,,,,,6084.611321006614,13399.27821801539,12930.808241880099,2348.976792002892,,5069.12865502535,,17671.511470201393,16470.646092448915,23704.368352891794,6570.241059846994,,5771.247748404524,3770.8216667947218,5525.635835078698,7191.474692698411,740.9334218929547,,,2068.7138186070133,6609.799364080765,3979.965502285538,,,21024.97701014526,,3494.2520198902093,20338.619880682236,6078.415255701894,3397.7493699809934,,2938.874088414768,9380.210614857582,,7725.922112724076,311.3243600206966,12552.722648202833,14284.501094689345,979.5254960177184,,,,,18090.249872402743,19993.92366591048,,10706.877706947611,5061.135368068916,9488.992702027803,688.4972267311409,880.4961259687276,4132.743780814064,16081.210748602463,,1922.390533998005,15279.428894650078,,,1790.9173601949522,1489.0608908763816,6142.681210455791,326.87502442215623,,,20574.908547804855,5439.2726894677935,4610.33938589744,1499.1342283157855,1982.0420913216306,18028.607468798913,1733.2256030927513,9895.320138368292,1583.39529342392,730.5801423085582,3234.9572099740685,7503.370724650268,11629.001794888778,9243.940048169647,8122.999672369686,,148.0000065525718,2991.1882508254275,,14785.88001467516,2883.6661048538767,1798.1869062214328,,7634.884148165664,,,3611.7714304219444,16468.771670349128,8780.264598478816,,523.5641630457594,,23433.703497751885,11427.013475158697,,7478.850137499536,63339.53080545497,888.3921730260739,,1348.102450004017,1471.8903135947612,12151.246736167695,9929.01236421509,1537.0598517701474,6395.390277587173,,,4938.107550582524,1549.0594265416257,1782.4683359406115,2081.831841425703,3328.4251479825116,6773.073932965224,,,1538.6495117129475,
0.20930688334072822,6.842416163451048,0.8796967602721952,1.3009288974905788,0.8524620534315235,1.322530940390946,0.8686984278531503,0.6109104929183821,0.7075524997158641,0.47876529859873335,0.25161213971037416,,0.3987232392230604,,2.3665183440140156,0.5918610213494555,,,,,,,,1.5873383261384821,0.6829451612516951,0.719808235517077,1.0554422081293227,,2.283021417838609,,0.379666923872829,0.7501522661548689,0.4573694622897621,7.733283126766314,,2.319339335160801,0.6528182152545746,5.178083329875477,3.235461946651463,0.5322892131892974,,,1.6773585015920756,2.584644568118929,0.8080436667804115,,,0.5315578013100604,,0.5269197802983873,0.648803105919843,0.5892889128524769,6.530330643955094,,0.4536193092759833,0.3423718563008475,,6.710596607535978,1.3777805272511234,0.49359435526641926,0.6453603368848991,0.6227797509552602,,,,,0.30716610587124205,1.0451241131824411,,0.16847012525494826,0.7165147299241332,0.14665211037280698,1.0263285371676154,1.888890331932395,3.1829750538782102,0.5424649714219069,,2.490087721460596,0.2912382069727258,,,1.1837862361217792,0.7045891289372767,0.9978572257921915,0.009686447377747423,,,0.510884860332019,3.5466071029540074,0.18213930071817896,1.725896941251844,62.41875940732098,0.31870455866676306,0.24630693280026897,0.915972483313003,0.32147042692014716,0.3675965073001439,1.1920832756931343,0.24552561956780328,0.48660295918333324,1.3878819627332515,0.6786462204537743,,4.085376645900229,0.16992283875799374,,0.36049799044866876,11.744334455651565,0.5427246713441342,,3.41408633854209,,,1.2106796614350896,0.10152135677191924,1.028472957811934,,0.865898164570611,,0.8149439171210865,0.6977237159328357,,2.992790873837384,422593.6744196718,0.7809971270837821,,0.09528060099826288,1.9346131389579269,0.5251610866550014,0.6984932794559149,0.5548068060633892,0.9055418761724416,,,2.38787026342461,1.2849804197365988,0.29991329880536194,5.411829634461091,1.1564915782482572,1.4218078440474213,,,0.3973452283866999,
2.0400665439390555,1.0980522032445823,1.2120938958843097,2.4962870546585068,0.9934117986871032,-0.04447797569778915,1.1502345572634607,1.1505272959423607,1.0174009289553985,1.5317124493953467,0.23477639847450435,,1.2456170077126971,,1.6484517592237213,1.6405769154240848,,,,,,,,1.5275159207191495,0.7070321344313478,1.1031773330698118,3.137008839421002,,1.3993450288710014,,1.4013452311801906,1.6787071909672853,0.9628224021806376,3.190528564465138,,3.5868263154288056,1.8752455225302622,2.482820086451018,2.374200975989181,1.0021219505545302,,,1.8757596248143398,2.2034236958043985,1.0673470201851272,,,0.7851002604566756,,2.3267338104812985,0.3482251832610368,1.7201174035939806,2.6534488476019584,,1.9166195681342297,0.6908931339410364,,3.525753197934729,3.8575901763122578,0.9694395242232222,0.9721179304904989,3.1721577971498456,,,,,0.4615551631739586,1.4534132133480038,,0.11154264597834723,2.081076012067479,0.45689164144729716,2.017627877336372,4.661008696903032,2.641413230421969,1.1756114346886242,,1.9822721363822378,0.6495873148310335,,,1.4743094251728914,2.600288799808899,1.426185462601369,-1.1100748130964062,,,0.7271629216325204,2.524964577242239,0.6534484367992056,2.078812780948099,3.8486307436718303,-0.005204420016006724,2.123729219032935,1.1666471633408022,1.2784985153568809,2.05745061402073,0.6640644125132276,0.7937684428016448,0.3262851114371562,1.7520236825986288,0.8093421621379531,,-0.02447753933864147,0.7418171438528184,,0.7680108911890423,3.294284708575626,1.574543378627573,,4.2803592166721165,,,1.4591393379615305,0.6462086256031832,2.2796249448160126,,9.535948412391686,,0.8795220682069321,1.543639531284758,,2.0459384974148835,16872667.209724896,3.237882472799335,,-0.04970410794687147,1.8743207583222283,1.076738007617106,1.7852720475849448,0.7483335031206874,1.1098605330573468,,,1.8888272456403856,0.5479499815119017,1.129735355732438,1.916603722197542,1.1936204134439878,1.5567674200645505,,,1.2189171154214244,
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,,,,,,,,100.0,100.0,100.0,100,,100.0,,100,100,100.0,100,,100,100.0,100,100,100.0,,,100.0,100,100.0,,,100.0,,100,100.0,100,100.0,,100.0,100.0,,100,100.0,100.0,100.0,100.0,,,,,100.0,100,,100.0,100,100.0,100.0,100.0,100,100.0,,100.0,100.0,,,100.0,100.0,100.0,100.0,,,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,,100.0,100.0,,100.0,100.0,100.0,,100,,,100.0,100.0,100,,100,,100.0,100,,100.0,100,100.0,,100.0,100.0,100.0,100,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,
135623.0,41055.0,52543.0,25763.0,95652.0,6163.0,50243.0,117388.0,231572.0,54009.0,47131.0,,176695.0,,40955.0,55029.0,,,,,,,,33860.0,55922.0,72587.0,27393.0,,19124.0,,205456.0,681544.0,392384.0,79920.0,,137421.0,125186.0,60229.0,177933.0,5889.0,,,47768.0,88370.0,32074.0,,,116066.0,,190734.0,132299.0,211146.0,41123.0,,109400.0,62258.0,,232635.0,73739.0,195954.0,167964.0,34206.0,,,,,265215.0,152827.0,,284918.0,301756.0,259574.0,10654.0,36209.0,188081.0,224831.0,,21164.0,434418.0,,,22117.0,124437.0,171371.0,16858.0,,,114918.0,36905.0,87445.0,86076.0,77230.0,92331.0,133934.0,109745.0,26206.0,60154.0,27646.0,91768.0,181380.0,480596.0,40640.0,,952.0,175385.0,,127824.0,253940.0,32555.0,,82152.0,,,25755.0,350847.0,201726.0,,23753.0,,194261.0,168777.0,,95723.0,12903910.0,86332.0,,14766.0,82066.0,400783.0,214033.0,11592.0,54993.0,,,66063.0,3338.0,84350.0,16001.0,36138.0,116080.0,,,19117.0,
147302.40890512973,3361.216417038865,40854.838935575055,32057.99927594157,103615.8569636018,,83095.73866158421,83117.24602544979,77147.98132589647,43947.02718503792,40435.735243474286,,202547.23768335345,,43469.252009651704,54695.36518190474,,,,,,,,48694.290179251315,62675.3797744023,103194.67861925073,64740.201369959635,,29145.061167100117,,298683.23393681593,328472.6575454275,234726.43468338076,120185.18946504808,,205421.0670890865,72131.73628982915,76016.5174531244,137148.69487822964,6628.955098312308,,,29863.17323358296,101519.61111824194,30597.81853492896,,,132120.72173077674,,109524.0651553965,59272.366720912985,110979.33097707201,43174.171344644856,,86604.85934790586,73506.26949394154,,154452.3508939439,13529.6542056876,114474.86503798931,114880.30987584172,47759.219199114574,,,,,115876.72426418569,182934.8990767743,,77030.87398992552,118082.6540779056,119725.68644106982,11767.752735526024,41306.847295870575,60553.631114662945,176193.90961057015,,21792.31787757826,133253.83657471702,,,21133.695032811615,34677.35864608713,61282.23305956208,,,,123487.893242449,71907.0615324713,58789.70227610434,21708.56542299814,35495.049790338526,65767.84440397238,76543.95243811456,85913.36630986683,30602.610120710797,23097.57408627929,9193.182288411244,94850.01152353818,41704.87350128206,99289.81547570141,45821.8099220925,,,48383.17886879663,,128387.7755786551,48480.72354086911,30734.57545686387,,210976.42224600766,,,35315.47509305612,358319.1601878714,230590.89091082718,,34165.80314083527,,134251.31706212863,175488.88325667975,,101396.15772268048,18685123.74094854,42353.85431020245,,14163.562654754569,18733.82285050422,135298.6650403722,230517.31693910962,8936.757059157326,51649.412409306344,,,69459.98542986899,3530.0415581965785,26091.634770198816,13864.7212285732,23158.835354104533,77743.61917249323,,,21748.85808699192,
87749.39215641149,352.18777816979355,11116.307702974063,10943.476158363552,10545.230914439162,,35532.19756205055,19471.73215295039,15611.166571569905,8040.7480989120595,43.32201266962511,,43680.84382896617,,7895.0271421587095,12957.22139742459,,,,,,,,22314.020594841095,8199.605577418086,30793.77272158666,41213.06965440686,,9953.571773172447,,111267.56433957376,55194.5783858411,31162.59354864678,55372.266973890626,,79528.56913299984,29055.045888507324,28457.079748892575,31674.33869982697,1340.1912898229502,,,7286.724454994237,31211.741139262595,4093.498518354063,,,42786.06870850347,,38515.6483437859,1.0341255288440152,11269.862196348055,21554.653578703947,,20274.899843811727,27812.87763579515,,13494.114773424313,5619.450769962757,20631.453734146402,10240.056852557362,15432.402118408267,,,,,7269.571106796895,92812.49835710645,,4304.279912102225,39909.84934033167,3685.2892064313055,4983.855935995202,19682.413678596018,38615.53069651929,46718.712225907904,,8308.036375426243,19241.203291106038,,,3135.355973975904,25861.58944532684,19563.364848559977,,,,31618.822001597437,43825.44120700897,16695.576230773877,8776.381142368242,12797.946385430256,979.4048883330615,19720.383625968287,9564.21991012845,5673.149792906439,7513.16413744788,1112.7829818579676,11327.597005719013,407.7915427692278,51986.30767431041,4822.027653689867,,,4894.572933152478,,19367.870592163294,23265.346200850334,9772.967235987024,,156904.26287045,,,9070.87586639796,45489.52351977292,61230.65165337888,,0.0,,8818.865791243006,43600.26314409071,,24091.298527055333,6333939.908796942,13304.79157937091,,169.76474484549544,5235.439960997295,14684.187789267977,40581.67408128065,2041.944482455242,4837.090508982306,,,12163.53684932433,169.9156366387906,10425.752788451366,7104.339707064209,4783.986857524898,13542.875314251862,,,6263.775098818651,
infinity,-5.5,1.5833333333333333,-1.75,0.3333333333333333,-1.4166666666666667,11.833333333333334,7.75,4.5,-5.833333333333333,-7.083333333333333,,40.0,,-6.166666666666667,2.1666666666666665,,,,,,,,8.833333333333334,1.1666666666666667,12.333333333333334,infinity,,1.0,,infinity,infinity,17.916666666666668,infinity,,infinity,28.083333333333332,infinity,infinity,-4.333333333333333,,,-6.083333333333333,infinity,-5.583333333333333,,,8.75,,infinity,-9.416666666666666,infinity,19.166666666666668,,20.583333333333332,5.0,,infinity,-7.416666666666667,7.833333333333333,-0.4166666666666667,9.25,,,,,1.0833333333333333,infinity,,0.9166666666666666,infinity,-3.5833333333333335,-3.4166666666666665,43.583333333333336,infinity,29.666666666666668,,-1.8333333333333333,5.0,,,-12.666666666666666,20.166666666666668,8.416666666666666,-3.0833333333333335,,,6.583333333333333,infinity,3.8333333333333335,-1.5833333333333333,0.0,0.25,21.166666666666668,-2.4166666666666665,-6.0,-4.75,-1.0,1.75,-2.0833333333333335,infinity,-2.0833333333333335,,-0.8333333333333334,-3.9166666666666665,,5.75,41.0,-0.5,,infinity,,,-1.0833333333333333,18.333333333333332,infinity,,infinity,,-1.5,infinity,,35.166666666666664,infinity,1.5833333333333333,,-1.4166666666666667,-6.25,4.75,infinity,-0.9166666666666666,-9.083333333333334,,,-0.75,-1.8333333333333333,1.5833333333333333,-0.5,-3.25,3.0833333333333335,,,-1.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,76,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
infinity,2.0,70.0,78.0,127.0,1.0,160.0,157.0,111.0,86.0,26.0,,573.0,,77.0,143.0,,,,,,,,131.0,51.0,185.0,infinity,,48.0,,infinity,infinity,316.0,infinity,,infinity,393.0,infinity,infinity,9.0,,,50.0,infinity,41.0,,,121.0,,infinity,21.0,infinity,274.0,,393.0,73.0,,infinity,4.0,162.0,142.0,242.0,,,,,60.0,infinity,,34.0,infinity,88.0,12.0,600.0,infinity,413.0,,37.0,107.0,,,24.0,255.0,154.0,57.0,,,99.0,infinity,75.0,39.0,112.0,16.0,399.0,134.0,52.0,39.0,9.0,116.0,21.0,infinity,47.0,,1.0,69.0,,126.0,551.0,64.0,,infinity,,,65.0,317.0,infinity,,infinity,,125.0,infinity,,560.0,infinity,157.0,,23.0,23.0,215.0,infinity,13.0,69.0,,,186.0,4.0,50.0,17.0,32.0,190.0,,,37.0,
285299.74945667444,0.0,3161.9322802187444,0.0,706.6178125430632,0.0,42340.0461565851,18651.53506300387,10361.50996234897,0.0,0.0,,122212.94735391194,,0.0,4009.84056292865,,,,,,,,23307.490449128545,2536.713480821714,38591.680660315855,160755.3843519944,,1986.9493595946403,,311363.6366545087,175571.42307539767,51458.95710967718,222673.4944924943,,324010.20702750894,70457.43883620808,106522.08935554314,111204.61129154198,0.0,,,0.0,112737.66780998146,0.0,,,43641.14503518852,,141641.2949462479,0.0,99197.06817128422,42019.49607214425,,43488.807720103505,23805.5054139672,,293970.10688395065,0.0,19947.676326111075,0.0,17124.308046760347,,,,,2438.920064349891,233087.903222829,,2974.250568326394,141423.42468980153,0.0,0.0,85770.13096583083,138231.98705679466,98882.2071398699,,0.0,14988.837846194605,,,0.0,48863.5777944032,19843.723123194104,0.0,,,29172.42044276058,154629.2705798597,11766.30158865192,0.0,139.98828155199254,715.9592321048408,43849.94853598034,0.0,0.0,0.0,0.0,3463.7689379774993,0.0,151485.94175573663,0.0,,0.0,0.0,,15730.240743756598,87558.46615870947,0.0,,667282.5323143955,,,0.0,69290.87145548512,219652.53675528025,,109980.58981783943,,0.0,138806.77104400404,,78568.89443545436,25715795.350466143,2852.0346793844783,,0.0,0.0,9299.308407168905,130357.78507168869,0.0,0.0,,,0.0,0.0,3347.571372706048,0.0,0.0,5674.433551832844,,,0.0,
