Date,New Prod
2006-11-09,1706.0
2006-11-10,1783.0
2006-11-11,1741.0
2006-11-12,1752.0
2006-11-13,1804.0
2006-11-14,1795.0
2006-11-15,1765.0
2006-11-16,1513.0
2006-11-17,1637.0
2006-11-18,1624.0
2006-11-19,1638.0
2006-11-20,1724.0
2006-11-21,1739.0
2006-11-22,1665.0
2006-11-23,1744.0
2006-11-24,1765.0
2006-11-25,1720.0
2006-11-26,1721.0
2006-11-27,1676.0
2006-11-28,1735.0
2006-11-29,1726.0
2006-11-30,1722.0
2006-12-01,1769.0
2006-12-02,1749.0
2006-12-03,1743.0
2006-12-04,1772.0
2006-12-05,1793.0
2006-12-06,1780.0
2006-12-07,1811.0
2006-12-08,1815.0
2006-12-09,1801.0
2006-12-10,1790.0
2006-12-11,1791.0
2006-12-12,1799.0
2006-12-13,1760.0
2006-12-14,1790.0
2006-12-15,1795.0
2006-12-16,1821.0
2006-12-17,1794.0
2006-12-18,1830.0
2006-12-19,1683.0
2006-12-20,1814.0
2006-12-21,1787.0
2006-12-22,1638.0
2006-12-23,1706.0
2006-12-24,1922.0
2006-12-25,1758.0
2006-12-26,1722.0
2006-12-27,1697.0
2006-12-28,1731.0
2006-12-29,1629.0
2006-12-30,1761.0
2006-12-31,1677.0
2007-01-01,1722.0
2007-01-02,1486.0
2007-01-03,1502.0
2007-01-04,1382.0
2007-01-05,1545.0
2007-01-06,1533.0
2007-01-07,1553.0
2007-01-08,1506.0
2007-01-09,1528.0
2007-01-10,1573.0
2007-01-11,1517.0
2007-01-12,1589.0
2007-01-13,1501.0
2007-01-14,1295.0
2007-01-15,1669.0
2007-01-16,1440.0
2007-01-17,1474.0
2007-01-18,1700.0
2007-01-19,1427.0
2007-01-20,1444.0
2007-01-21,1326.0
2007-01-22,1424.0
2007-01-23,1441.0
2007-01-24,1476.0
2007-01-25,1501.0
2007-01-26,1542.0
2007-01-27,1586.0
2007-01-28,1609.0
2007-01-29,1539.0
2007-01-30,1630.0
2007-01-31,1476.0
2007-02-01,1520.0
2007-02-02,1590.0
2007-02-03,1599.0
2007-02-04,1668.0
2007-02-05,1685.0
2007-02-06,1541.0
2007-02-07,1816.0
2007-02-08,2508.0
2007-02-09,2273.0
2007-02-10,2262.0
2007-02-11,2005.0
2007-02-12,1956.0
2007-02-13,1983.0
2007-02-14,1726.0
2007-02-15,2224.0
2007-02-16,2187.0
2007-02-17,2207.0
2007-02-18,2058.0
2007-02-19,2172.0
2007-02-20,2236.0
2007-02-21,2200.0
2007-02-22,2231.0
2007-02-23,2109.0
2007-02-24,2189.0
2007-02-25,1980.0
2007-02-26,1845.0
2007-02-27,1754.0
2007-02-28,1495.0
2007-03-01,1616.0
2007-03-02,1484.0
2007-03-03,1580.0
2007-03-04,1531.0
2007-03-05,932.0
2007-03-06,1342.0
2007-03-07,1262.0
2007-03-08,1499.0
2007-03-09,943.0
2007-03-10,1153.0
2007-03-11,906.0
2007-03-12,922.0
2007-03-13,827.0
2007-03-14,1145.0
2007-03-15,933.0
2007-03-16,1011.0
2007-03-17,953.0
2007-03-18,972.0
2007-03-19,1145.0
2007-03-20,921.0
2007-03-21,1059.0
2007-03-22,1032.0
2007-03-23,903.0
2007-03-24,1264.0
2007-03-25,1270.0
2007-03-26,1706.0
2007-03-27,978.0
2007-03-28,1215.0
2007-03-29,1038.0
2007-03-30,896.0
2007-03-31,1371.0
2007-04-01,968.0
2007-04-02,1015.0
2007-04-03,941.0
2007-04-04,1317.0
2007-04-05,1794.0
2007-04-06,1185.0
2007-04-07,1572.0
2007-04-08,1691.0
2007-04-09,1384.0
2007-04-10,1731.0
2007-04-11,1567.0
2007-04-12,1680.0
2007-04-13,1650.0
2007-04-14,1894.0
2007-04-15,1870.0
2007-04-16,2025.0
2007-04-17,2003.0
2007-04-18,1809.0
2007-04-19,1870.0
2007-04-20,2127.0
2007-04-21,1628.0
2007-04-22,1695.0
2007-04-23,1989.0
2007-04-24,1674.0
2007-04-25,1558.0
2007-04-26,1365.0
2007-04-27,1306.0
2007-04-28,2269.0
2007-04-29,1835.0
2007-04-30,1902.0
2007-05-01,1676.0
2007-05-02,1756.0
2007-05-03,1514.0
2007-05-04,1546.0
2007-05-05,1690.0
2007-05-06,1548.0
2007-05-07,1497.0
2007-05-08,1460.0
2007-05-09,1628.0
2007-05-10,1943.0
2007-05-11,1922.0
2007-05-12,1786.0
2007-05-13,1794.0
2007-05-14,1688.0
2007-05-15,1763.0
2007-05-16,1909.0
2007-05-17,1773.0
2007-05-18,1778.0
2007-05-19,1733.0
2007-05-20,1557.0
2007-05-21,1855.0
2007-05-22,1933.0
2007-05-23,1816.0
2007-05-24,1903.0
2007-05-25,1757.0
2007-05-26,2302.0
2007-05-27,1891.0
2007-05-28,2079.0
2007-05-29,2205.0
2007-05-30,2312.0
2007-05-31,1946.0
2007-06-01,2126.0
2007-06-02,1746.0
2007-06-03,2061.0
2007-06-04,2018.0
2007-06-05,1744.0
2007-06-06,1672.0
2007-06-07,1742.0
2007-06-08,1876.0
2007-06-09,1691.0
2007-06-10,1697.0
2007-06-11,2015.0
2007-06-12,1690.0
2007-06-13,1765.0
2007-06-14,1441.0
2007-06-15,932.0
2007-06-16,1518.0
2007-06-17,1063.0
2007-06-18,1140.0
2007-06-19,1169.0
2007-06-20,1169.0
2007-06-21,1164.0
2007-06-22,1339.0
2007-06-23,1233.0
2007-06-24,1130.0
2007-06-25,1013.0
2007-06-26,1237.0
2007-06-27,1162.0
2007-06-28,1201.0
2007-06-29,1239.0
2007-06-30,1077.0
2007-07-01,1191.0
2007-07-02,971.0
2007-07-03,1341.0
2007-07-04,1416.0
2007-07-05,1235.0
2007-07-06,1436.0
2007-07-07,1441.0
2007-07-08,1253.0
2007-07-09,1541.0
2007-07-10,1285.0
2007-07-11,1266.0
2007-07-12,1305.0
2007-07-13,1238.0
2007-07-14,1105.0
2007-07-15,1284.0
2007-07-16,1070.0
2007-07-17,1046.0
2007-07-18,1188.0
2007-07-19,1133.0
2007-07-20,1223.0
2007-07-21,1114.0
2007-07-22,1312.0
2007-07-23,1036.0
2007-07-24,1038.0
2007-07-25,1196.0
2007-07-26,1097.0
2007-07-27,1079.0
2007-07-28,1163.0
2007-07-29,1138.0
2007-07-30,931.0
2007-07-31,832.0
2007-08-01,1196.0
2007-08-02,1143.0
2007-08-03,1028.0
2007-08-04,1154.0
2007-08-05,999.0
2007-08-06,1100.0
2007-08-07,1073.0
2007-08-08,1050.0
2007-08-09,1085.0
2007-08-10,1265.0
2007-08-11,1132.0
2007-08-12,1105.0
2007-08-13,1068.0
2007-08-14,1132.0
2007-08-15,1109.0
2007-08-16,1160.0
2007-08-17,1379.0
2007-08-18,1178.0
2007-08-19,1136.0
2007-08-20,1118.0
2007-08-21,1144.0
2007-08-22,1128.0
2007-08-23,1037.0
2007-08-24,1067.0
2007-08-25,1082.0
2007-08-26,1008.0
2007-08-27,955.0
2007-08-28,1079.0
2007-08-29,979.0
2007-08-30,1320.0
2007-08-31,976.0
2007-09-01,1024.0
2007-09-02,1081.0
2007-09-03,1024.0
2007-09-04,967.0
2007-09-05,983.0
2007-09-06,983.0
2007-09-07,1073.0
2007-09-08,927.0
2007-09-09,993.0
2007-09-10,1054.0
2007-09-11,773.0
2007-09-12,1060.0
2007-09-13,1058.0
2007-09-14,1016.0
2007-09-15,991.0
2007-09-16,933.0
2007-09-17,930.0
2007-09-18,838.0
2007-09-19,824.0
2007-09-20,868.0
2007-09-21,642.0
2007-09-22,802.0
2007-09-23,867.0
2007-09-24,851.0
2007-09-25,890.0
2007-09-26,938.0
2007-09-27,925.0
2007-09-28,882.0
2007-09-29,886.0
2007-09-30,796.0
2007-10-01,803.0
2007-10-02,844.0
2007-10-03,821.0
2007-10-04,818.0
2007-10-05,852.0
2007-10-06,768.0
2007-10-07,1064.0
2007-10-08,714.0
2007-10-09,750.0
2007-10-10,750.0
2007-10-11,905.0
2007-10-12,461.0
2007-10-13,448.0
2007-10-14,441.0
2007-10-15,407.0
2007-10-16,371.0
2007-10-17,406.0
2007-10-18,345.0
2007-10-19,424.0
2007-10-20,301.0
2007-10-21,295.0
2007-10-22,610.0
2007-10-23,373.0
2007-10-24,324.0
2007-10-25,436.0
2007-10-26,340.0
2007-10-27,376.0
2007-10-28,284.0
2007-10-29,336.0
2007-10-30,357.0
2007-10-31,344.0
2007-11-01,423.0
2007-11-02,412.0
2007-11-03,387.0
2007-11-04,476.0
2007-11-05,307.0
2007-11-06,554.0
2007-11-07,398.0
2007-11-08,461.0
2007-11-09,273.0
2007-11-10,528.0
2007-11-11,481.0
2007-11-12,371.0
2007-11-13,406.0
2007-11-14,311.0
2007-11-15,382.0
2007-11-16,441.0
2007-11-17,434.0
2007-11-18,397.0
2007-11-19,300.0
2007-11-20,756.0
2007-11-21,405.0
2007-11-22,528.0
2007-11-23,278.0
2007-11-24,601.0
2007-11-25,397.0
2007-11-26,395.0
2007-11-27,648.0
2007-11-28,417.0
2007-11-29,395.0
2007-11-30,373.0
2007-12-01,386.0
2007-12-02,445.0
2007-12-03,383.0
2007-12-04,324.0
2007-12-05,338.0
2007-12-06,280.0
2007-12-07,307.0
2007-12-08,290.0
2007-12-09,362.0
2007-12-10,298.0
2007-12-11,288.0
2007-12-12,330.0
2007-12-13,275.0
2007-12-14,233.0
2007-12-15,265.0
2007-12-16,280.0
2007-12-17,254.0
2007-12-18,224.0
2007-12-19,242.0
2007-12-20,324.0
2007-12-21,247.0
2007-12-22,256.0
2007-12-23,227.0
2007-12-24,212.0
2007-12-25,278.0
2007-12-26,208.0
2007-12-27,263.0
2007-12-28,291.0
